series,period_days,n,mape,smape,coverage_p10_p90
blended,30,5,0.4337,0.3898,0.6
blended,60,5,0.2695,0.3118,0.8
blended,90,5,0.2561,0.2958,1.0
camptype:google:Performance Max,30,5,1.3263,0.7148,0.4
camptype:google:Performance Max,60,5,0.5477,0.4815,0.8
camptype:google:Performance Max,90,5,0.3596,0.3899,0.8
camptype:google:Search,30,5,0.7624,0.6257,0.4
camptype:google:Search,60,5,0.5768,0.642,0.2
camptype:google:Search,90,5,0.453,0.5513,0.2
camptype:google:Shopping,30,2,4.2802,0.8317,0.5
camptype:google:Shopping,60,2,6.6583,1.0764,0.5
camptype:google:Shopping,90,2,4.2072,1.1888,0.5
camptype:meta:Prospecting - Brand,30,5,0.3457,0.5106,0.4
camptype:meta:Prospecting - Brand,60,5,0.4514,0.5956,0.4
camptype:meta:Prospecting - Brand,90,5,0.6356,0.7927,0.2
camptype:meta:Remarketing - Brand,30,3,0.4418,0.5773,0.6667
camptype:meta:Remarketing - Brand,60,3,0.4384,0.5729,0.6667
camptype:meta:Remarketing - Brand,90,4,4.8912,0.8174,0.25
camptype:meta:Remarketing - DPA,30,5,6.7086,0.7191,0.4
camptype:meta:Remarketing - DPA,60,5,3.2818,0.7188,0.4
camptype:meta:Remarketing - DPA,90,5,2.6296,0.9163,0.2
channel:bing,30,5,2.3581,0.7778,0.8
channel:bing,60,5,1.7944,0.7167,0.4
channel:bing,90,5,1.2749,0.7615,0.6
channel:google,30,5,0.8053,0.5194,0.6
channel:google,60,5,0.26,0.3149,0.6
channel:google,90,5,0.24,0.296,0.8
channel:meta,30,5,0.4419,0.5136,0.4
channel:meta,60,5,0.4968,0.5724,0.4
channel:meta,90,5,0.5568,0.6517,0.4
